actionNumber,actionType,clock,description,isFieldGoal,location,period,personId,playerName,playerNameI,pointsTotal,scoreAway,scoreHome,shotDistance,shotResult,subType,teamId,teamTricode,videoAvailable,xLegacy,yLegacy,video_url,video_id,data_split_id,delexicalized_description,players_in_description,action_type_code
4.0,Jump Ball,PT12M00.00S,Jump Ball Ayton vs. Jordan: Tip to Smith Jr.,0.0,h,1.0,1629028.0,Ayton,D. Ayton,0.0,,,0.0,,,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/4/4370f4e5-5808-8024-f98f-c5f67855904f_1280x720.mp4,10977,train-10977,Jump Ball PLAYER1629028 vs. PLAYER201599: Tip to PLAYER1628372,PLAYER1629028 PLAYER201599 PLAYER1628372,action41
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M43.00S </> PT11M39.00S,MISS Matthews 3PT Jump Shot </> Ayton REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202083.0 </> 1629028.0,Matthews </> Ayton,W. Matthews </> D. Ayton,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,-230.0 </> 0.0,-2.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/7/4d9c01e8-f1a3-0385-fafb-1f2a3543b81e_1280x720.mp4 ,10978 </> 10979,train-10978 </> train-10979,MISS PLAYER202083 3PT Jump Shot </> PLAYER1629028 DEFENSIVE REBOUND ,PLAYER202083 </> PLAYER1629028,action109 </> action135
7.0 </> 8.0,Missed Shot </> Defensive Rebound,PT11M43.00S </> PT11M39.00S,MISS Matthews 3PT Jump Shot </> Ayton REBOUND (Off:0 Def:1),1.0 </> 0.0,v </> h,1.0 </> 1.0,202083.0 </> 1629028.0,Matthews </> Ayton,W. Matthews </> D. Ayton,0.0 </> 0.0, </> , </> ,0.0 </> 0.0,Missed </> ,Jump Shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,-230.0 </> 0.0,-2.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/8/211792a6-69e0-bb29-fd22-60a8a358e75b_1280x720.mp4,10978 </> 10979,train-10978 </> train-10979,MISS PLAYER202083 3PT Jump Shot </> PLAYER1629028 DEFENSIVE REBOUND ,PLAYER202083 </> PLAYER1629028,action109 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M26.00S </> PT11M23.00S,MISS Booker 25' 3PT Pullup Jump Shot </> Doncic REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626164.0 </> 1629029.0,Booker </> Doncic,D. Booker </> L. Doncic,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,-20.0 </> 0.0,253.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/9/afa37cc3-86c1-5776-0d79-6c072beda54e_1280x720.mp4 ,10980 </> 10981,train-10980 </> train-10981,MISS PLAYER1626164 25' 3PT Pullup Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER1629029,action111 </> action135
9.0 </> 10.0,Missed Shot </> Defensive Rebound,PT11M26.00S </> PT11M23.00S,MISS Booker 25' 3PT Pullup Jump Shot </> Doncic REBOUND (Off:0 Def:1),1.0 </> 0.0,h </> v,1.0 </> 1.0,1626164.0 </> 1629029.0,Booker </> Doncic,D. Booker </> L. Doncic,0.0 </> 0.0, </> , </> ,25.0 </> 0.0,Missed </> ,Pullup Jump shot </> Unknown,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,-20.0 </> 0.0,253.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/10/e5f6fb43-c1f1-1dbd-83da-bc58fd5b89f0_1280x720.mp4,10980 </> 10981,train-10980 </> train-10981,MISS PLAYER1626164 25' 3PT Pullup Jump Shot </> PLAYER1629029 DEFENSIVE REBOUND ,PLAYER1626164 </> PLAYER1629029,action111 </> action135
11.0,Made Shot,PT11M16.00S,Jordan Cutting Dunk Shot (2 PTS) (Doncic 1 AST),1.0,v,1.0,201599.0,Jordan,D. Jordan,2.0,2,0,0.0,Made,Cutting Dunk Shot,1610612742.0,DAL,1.0,2.0,4.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/11/f8f23ea6-c986-8ca6-4cb7-e23567610783_1280x720.mp4,10982,train-10982,PLAYER201599 Cutting Dunk Shot (PLAYER1629029 AST),PLAYER201599 PLAYER1629029,action44
13.0 </> 14.0,Made Shot </> Foul,PT11M04.00S </> PT11M04.00S,Ayton 1' Cutting Layup Shot (2 PTS) (Anderson 1 AST) </> Doncic S.FOUL (P1.T1) (L.Wood),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629028.0 </> 1629029.0,Ayton </> Doncic,D. Ayton </> L. Doncic,4.0 </> 0.0,2 </> ,2 </> ,1.0 </> 0.0,Made </> ,Cutting Layup Shot </> Shooting,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,-2.0 </> 0.0,5.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/13/fc091934-df42-253f-1c43-7c2651bfe022_1280x720.mp4 ,10983 </> 10984,train-10983 </> train-10984,PLAYER1629028 1' Cutting Layup Shot (PLAYER201583 AST) </> PLAYER1629029 S.FOUL ,PLAYER1629028 PLAYER201583 </> PLAYER1629029,action46 </> action18
13.0 </> 14.0,Made Shot </> Foul,PT11M04.00S </> PT11M04.00S,Ayton 1' Cutting Layup Shot (2 PTS) (Anderson 1 AST) </> Doncic S.FOUL (P1.T1) (L.Wood),1.0 </> 0.0,h </> v,1.0 </> 1.0,1629028.0 </> 1629029.0,Ayton </> Doncic,D. Ayton </> L. Doncic,4.0 </> 0.0,2 </> ,2 </> ,1.0 </> 0.0,Made </> ,Cutting Layup Shot </> Shooting,1610612756.0 </> 1610612742.0,PHX </> DAL,1.0 </> 1.0,-2.0 </> 0.0,5.0 </> 0.0, https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/14/daa88019-5260-8531-7c3b-c7e37108f0d0_1280x720.mp4,10983 </> 10984,train-10983 </> train-10984,PLAYER1629028 1' Cutting Layup Shot (PLAYER201583 AST) </> PLAYER1629029 S.FOUL ,PLAYER1629028 PLAYER201583 </> PLAYER1629029,action46 </> action18
21.0,Foul,PT10M48.00S,Canaan P.FOUL (P1.T1) (L.Wood),0.0,h,1.0,203477.0,Canaan,I. Canaan,0.0,,,0.0,,Personal,1610612756.0,PHX,1.0,0.0,0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/21/68d4bc64-fdf6-3aa6-1a53-6389afd23a34_1280x720.mp4,10985,train-10985,PLAYER203477 P.FOUL ,PLAYER203477,action16
23.0 </> 24.0,Missed Shot </> Defensive Rebound,PT10M39.00S </> PT10M38.00S,MISS Doncic 21' Step Back Jump Shot </> Ayton REBOUND (Off:0 Def:2),1.0 </> 0.0,v </> h,1.0 </> 1.0,1629029.0 </> 1629028.0,Doncic </> Ayton,L. Doncic </> D. Ayton,0.0 </> 0.0, </> , </> ,21.0 </> 0.0,Missed </> ,Step Back Jump shot </> Unknown,1610612742.0 </> 1610612756.0,DAL </> PHX,1.0 </> 1.0,30.0 </> 0.0,204.0 </> 0.0,https://videos.nba.com/nba/pbp/media/2018/10/17/0021800013/23/c865b2da-88a0-aabd-8319-2670aa291f04_1280x720.mp4 ,10986 </> 10987,train-10986 </> train-10987,MISS PLAYER1629029 21' Step Back Jump Shot </> PLAYER1629028 DEFENSIVE REBOUND ,PLAYER1629029 </> PLAYER1629028,action126 </> action135
